Site_ID,Median_Delta_CBI,Mean_Delta_CBI,Q25_Delta_CBI,Q75_Delta_CBI,N_pairs,N_classes,Median_Target_CBI,Median_Normal_CBI,Longitude,Latitude
95332217,0.013067364551041294,0.019197157778556136,-0.009325619202945945,0.033778132644218584,9,4,0.62389247713271,0.5901143444884914,117.63227,25.27501
95332218,-0.06653088283066122,-0.07699357090435026,-0.12194867853220687,0.010276623915721483,9,3,0.5869435908736123,0.7476767591757293,117.01007,24.96933
95332219,0.0888941708340612,0.05212750517298346,-0.02264382502459228,0.14812146413594085,10,3,0.8264828672027269,0.8218860432703947,117.0948,25.2415
95332220,-0.04764239018214356,-0.06768688510942382,-0.10075552992153869,0.0020153217564232717,7,3,0.5682926241693781,0.755204605110814,116.11679,25.25292
95332221,0.01880280928684408,0.0757219223864469,-0.018961790552467772,0.14535710498559418,15,4,0.5981369269040142,0.5875836074131189,117.3608625,26.78347812
95332222,0.07658279510270982,0.036871157109184136,-0.06296311146172295,0.10351111118136325,13,3,1.0009613937865423,0.9720416961243956,117.5481259,26.79229729
95332223,-0.03514474683941371,-0.02535694534512734,-0.13332041180916315,0.06996267554591576,16,3,0.5896361456002088,0.6836596965273112,117.6007481,26.66962275
95332224,-0.004561456351085236,0.028519129069873833,-0.026966910798282867,0.1259129615699208,12,2,0.8424653535218796,0.8515608283768024,117.4623274,26.53346358
95332225,0.007620093268659978,-0.0030793911966575382,-0.039503909694703854,0.06627796692732632,16,4,0.8932924652240196,0.9396330764336207,117.5158023,27.14893502
95332226,0.03139229307081082,0.03912009391443094,-0.03629271449970606,0.13493896563091345,13,4,0.4774492129670565,0.44774716758155564,117.9129664,27.71936172
95332227,0.00821559111111378,0.005917884168904899,-0.023544963013959377,0.0555587303075209,16,4,0.5235214878850968,0.5311608471176897,117.7970728,27.56918588
95332228,0.056918447650731396,0.04042681864641497,-0.03478644530180505,0.10038259088339777,16,4,0.8110003725564292,0.7737374589822099,118.1833673,27.68410527
95332229,0.06572284370367526,0.04493038342233263,-0.016950566708314435,0.11190702958571073,12,3,0.5543346529871399,0.5123151418827577,117.8937625,27.86000655
95332230,0.07150324083655746,0.07044271028786543,0.016612432854201553,0.13849516319908584,17,4,0.8381246702883624,0.6996295070892765,118.1949041,27.56726697
95332231,0.07004305831288515,0.07072766428701578,0.018969039394022696,0.09492879535302066,12,4,0.4945188718242658,0.421326041127887,117.7169739,27.06687783
95332232,-0.018859842021633932,-0.03467995171078463,-0.051003517757756245,-0.014590363784889315,13,3,0.6755634786211999,0.6920295798049328,117.4091708,25.81640582
95332233,-0.0016583406329613304,-0.02462716551446823,-0.09791861581276207,0.03205639918992487,13,3,0.657328852140777,0.6304635691317741,117.467793,25.89459269
95332234,-0.031059718537808423,-0.09042491005990345,-0.20142704248798793,0.01305454873088463,11,3,0.6836150610143342,0.7857852752905078,116.77256,25.47449
95332235,0.036585548531431256,0.02949531564920645,-0.08065054430678079,0.11560523356604183,12,3,0.675090524309238,0.6312415443895384,116.29942,25.47995
95332236,-0.08027084517431915,-0.0204142535725387,-0.10384307904092815,0.05460033608694692,9,3,1.001666892057642,1.0645085748929999,116.68835,25.66767
95332237,0.01168139567001153,-0.053921531657426636,-0.18099366503629793,0.04822876601979478,12,3,0.8909258878274435,0.9099894300935696,117.00125,25.69326
95332238,-0.0566678085622872,-0.08242480821180548,-0.17223284426235824,-0.026787036199753478,8,2,0.7490141728112025,0.7731572680044909,117.2348565,25.72348088
95332239,-0.0636972722731485,-0.05174905355249372,-0.14660699195231175,0.046438021862318005,14,3,0.48974602375482335,0.5458042866693882,117.6462713,26.197705
95332240,-0.014322816015174822,-0.006000416969114264,-0.04909156198833686,0.054359075417018954,15,3,0.819705268162518,0.840279755783783,117.6962543,26.39744371
95332242,0.1054467797592179,0.10641496079162023,0.060993145127314685,0.1426002370906221,10,4,0.668625034715401,0.5397450658077056,118.2814144,27.95758117
95332243,0.05522243168756369,0.02688857908534929,0.01026300993915652,0.10752633816114698,13,3,0.5589151325410954,0.5677722482630032,118.0908773,27.81907915
95332244,0.01331134150471558,0.023847927174958306,-0.03323277250748588,0.07443496271204325,10,4,0.4984233508020317,0.5285125739165253,116.28577,25.76857
